iso2c,country,year,SE.ADT.LITR.ZS,SH.IMM.MEAS,DT.ODA.ODAT.PC.ZS,EG.USE.ELEC.KH.PC,NY.GDP.PCAP.KD.ZG,iso3c,region,capital,longitude,latitude,income,lending
AF,Afghanistan,1960,,,1.90966315120431,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1961,,,3.78214165871402,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1962,,,1.81149573265961,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1963,,,3.84625308659975,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1964,,,4.74445455265713,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1965,,,5.42641914494607,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1966,,,4.96043716462751,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1967,,,3.91414713529741,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1968,,,2.75736004841788,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1969,,,2.51049617722832,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1970,,,2.48154725594891,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1971,,,3.89215984655571,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1972,,,4.70741191304511,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1973,,,4.65171499877534,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1974,,,3.99138386992341,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1975,,,5.51615745662966,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1976,,,5.56295456982738,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1977,,,6.55134884627847,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1978,,,6.23369528349792,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1979,,,7.92608532772413,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1980,,11,2.49162727188326,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1981,,,1.83162894552869,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1982,,8,0.731785081074806,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1983,,9,1.07189536364091,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1984,,14,0.539548265290071,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1985,,14,1.38504037579404,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1986,,14,0.164640397357444,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1987,,31,3.93644621495657,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1988,,34,6.26988148572276,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1989,,22,12.5933880127961,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1990,,20,9.93704524261918,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1991,,19,39.059827421949,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1992,,22,14.6553618919536,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1993,,25,14.8260041222651,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1994,,40,14.0001195840971,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1995,,41,12.4289885909803,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1996,,42,9.51753936119429,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1997,,38,12.5533107691086,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1998,,31,8.70441097881738,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1999,,31,7.36252244162395,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2000,,27,6.76876936298022,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2001,,37,19.5722091990433,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2002,,35,59.5893807271299,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2003,,39,69.0951786334974,,3.34315003917966,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2004,,48,95.8017335642607,,-3.36111089279191,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2005,,50,113.197433922925,,6.95447381762206,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2006,,53,114.391863579399,,2.20061298899059,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
